session_id,event_seq,event_type,client_timestamp_ms,client_iso_time,client_local_time,server_received_at,value_x,value_y,value_z,alpha,beta,gamma,heading_deg,battery_level,is_charging,is_screen_visible,sample_source,user_agent
gps-20260317-065503-tcxf,1,accelerometer,1773730503411,2026-03-17T06:55:03.411Z,"17.03.2026, 11:55:03",2026-03-17T06:55:03Z,,,,,,,,27,False,True,devicemotion_acceleration,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
gps-20260317-065503-tcxf,2,battery_status,1773730503372,2026-03-17T06:55:03.372Z,"17.03.2026, 11:55:03",2026-03-17T06:55:03Z,,,,,,,,27,False,True,battery,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
gps-20260317-065503-tcxf,3,orientation,1773730503413,2026-03-17T06:55:03.413Z,"17.03.2026, 11:55:03",2026-03-17T06:55:03Z,,,,,,,,27,False,True,deviceorientation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
gps-20260317-065503-tcxf,4,visibility_change,1773730503596,2026-03-17T06:55:03.596Z,"17.03.2026, 11:55:03",2026-03-17T06:55:04Z,,,,,,,,27,False,True,visibilitychange,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
gps-20260317-065503-tcxf,4,gyroscope,1773730503598,2026-03-17T06:55:03.598Z,"17.03.2026, 11:55:03",2026-03-17T06:55:04Z,,,,,,,,27,False,True,devicemotion_rotation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
gps-20260317-065503-tcxf,5,visibility_change,1773730551864,2026-03-17T06:55:51.864Z,"17.03.2026, 11:55:51",2026-03-17T06:55:53Z,,,,,,,,27,False,False,visibilitychange,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
gps-20260317-065503-tcxf,6,orientation,1773731659606,2026-03-17T07:14:19.606Z,"17.03.2026, 12:14:19",2026-03-17T07:14:21Z,,,,,,,,23,False,True,deviceorientation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
gps-20260317-065503-tcxf,7,visibility_change,1773731659468,2026-03-17T07:14:19.468Z,"17.03.2026, 12:14:19",2026-03-17T07:14:21Z,,,,,,,,27,False,True,visibilitychange,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
gps-20260317-065503-tcxf,8,battery_status,1773731659562,2026-03-17T07:14:19.562Z,"17.03.2026, 12:14:19",2026-03-17T07:14:21Z,,,,,,,,23,False,True,battery,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
gps-20260317-065503-tcxf,9,accelerometer,1773731659584,2026-03-17T07:14:19.584Z,"17.03.2026, 12:14:19",2026-03-17T07:14:21Z,,,,,,,,23,False,True,devicemotion_acceleration,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
gps-20260317-065503-tcxf,10,gyroscope,1773731661503,2026-03-17T07:14:21.503Z,"17.03.2026, 12:14:21",2026-03-17T07:14:21Z,,,,,,,,23,False,True,devicemotion_rotation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
