session_id,event_seq,event_type,client_timestamp_ms,client_iso_time,client_local_time,server_received_at,value_x,value_y,value_z,alpha,beta,gamma,heading_deg,battery_level,is_charging,is_screen_visible,sample_source,user_agent
gps-20260317-043810-6s5o,1,visibility_change,1773722290577,2026-03-17T04:38:10.577Z,"17.03.2026, 09:38:10",2026-03-17T04:38:10Z,,,,,,,,14,False,True,visibilitychange,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
gps-20260317-043810-6s5o,2,gyroscope,1773722301962,2026-03-17T04:38:21.962Z,"17.03.2026, 09:38:21",2026-03-17T04:38:22Z,,,,,,,,14,False,True,devicemotion_rotation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
gps-20260317-043810-6s5o,3,visibility_change,1773722301955,2026-03-17T04:38:21.955Z,"17.03.2026, 09:38:21",2026-03-17T04:38:22Z,,,,,,,,14,False,True,visibilitychange,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
