session_id,event_seq,event_type,client_timestamp_ms,client_iso_time,client_local_time,server_received_at,value_x,value_y,value_z,alpha,beta,gamma,heading_deg,battery_level,is_charging,is_screen_visible,sample_source,user_agent
gps-20260311-062500-65w4,16,visibility_change,1773211524339,2026-03-11T06:45:24.339Z,"11.03.2026, 11:45:24",2026-03-11T06:45:24Z,,,,,,,,7,False,True,visibilitychange,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
gps-20260311-062500-65w4,16,accelerometer,1773211524448,2026-03-11T06:45:24.448Z,"11.03.2026, 11:45:24",2026-03-11T06:45:24Z,,,,,,,,5,False,True,devicemotion_acceleration,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
gps-20260311-062500-65w4,17,orientation,1773211524494,2026-03-11T06:45:24.494Z,"11.03.2026, 11:45:24",2026-03-11T06:45:24Z,,,,,,,,5,False,True,deviceorientation,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
gps-20260311-062500-65w4,18,gyroscope,1773211524500,2026-03-11T06:45:24.500Z,"11.03.2026, 11:45:24",2026-03-11T06:45:24Z,,,,,,,,5,False,True,devicemotion_rotation,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
gps-20260311-062500-65w4,19,visibility_change,1773211530463,2026-03-11T06:45:30.463Z,"11.03.2026, 11:45:30",2026-03-11T06:45:30Z,,,,,,,,5,False,False,visibilitychange,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
gps-20260311-062500-65w4,20,visibility_change,1773213200770,2026-03-11T07:13:20.770Z,"11.03.2026, 12:13:20",2026-03-11T07:13:20Z,,,,,,,,5,False,True,visibilitychange,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
gps-20260311-062500-65w4,21,battery_status,1773213200873,2026-03-11T07:13:20.873Z,"11.03.2026, 12:13:20",2026-03-11T07:13:20Z,,,,,,,,3,False,True,battery,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
gps-20260311-062500-65w4,22,accelerometer,1773213200893,2026-03-11T07:13:20.893Z,"11.03.2026, 12:13:20",2026-03-11T07:13:20Z,,,,,,,,3,False,True,devicemotion_acceleration,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
gps-20260311-062500-65w4,23,gyroscope,1773213200916,2026-03-11T07:13:20.916Z,"11.03.2026, 12:13:20",2026-03-11T07:13:20Z,,,,,,,,3,False,True,devicemotion_rotation,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
gps-20260311-062500-65w4,24,orientation,1773213201045,2026-03-11T07:13:21.045Z,"11.03.2026, 12:13:21",2026-03-11T07:13:21Z,,,,,,,,3,False,True,deviceorientation,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
gps-20260311-062500-65w4,25,visibility_change,1773213202938,2026-03-11T07:13:22.938Z,"11.03.2026, 12:13:22",2026-03-11T07:13:22Z,,,,,,,,3,False,False,visibilitychange,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
